property_type,sector,area,areaWithType,bedRoom,bathroom,balcony,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,store room,furnishing_type,area_room_ratio,luxury_category,floor_category,price
0.0,6.0,2025.0,1736.0,3,4,4.0,2.0,3.0,2025.0,1750.0,1600.0,1,0,1,675.0,0.0,2.0,1.7
0.0,45.0,1365.0,1191.0,2,2,3.0,1.0,0.0,1365.0,1068.1,900.0,0,0,1,682.5,2.0,1.0,0.78
0.0,99.0,1640.0,1366.0,2,2,3.0,2.0,1.0,1640.0,1200.0,1125.0,1,1,1,820.0,0.0,2.0,1.08
0.0,99.0,2408.0,1940.0,3,4,3.0,7.0,3.0,2408.0,2300.0,2200.0,0,0,0,802.6666666666666,1.0,2.0,1.98
0.0,19.0,2217.0,1854.0,3,4,4.0,2.0,3.0,2217.0,1940.0,1730.0,1,0,0,739.0,1.0,2.0,2.4
0.0,89.0,1342.0,1162.0,2,2,2.0,2.0,3.0,1342.0,1180.0,1050.0,0,0,1,671.0,0.0,2.0,0.75
0.0,6.0,1128.0,1577.0,3,3,4.0,4.0,3.0,1852.0,1456.0,1128.09,0,1,0,376.0,2.0,1.0,2.0
0.0,95.0,1877.0,1594.0,3,3,3.0,1.0,3.0,1877.0,1800.0,1500.0,0,0,1,625.6666666666666,0.0,2.0,1.28
0.0,12.0,2003.0,1724.0,3,4,2.0,0.0,3.0,2003.0,1600.0,1400.0,0,0,0,667.6666666666666,1.0,0.0,2.95
0.0,98.0,1750.0,1479.0,3,3,2.0,3.0,3.0,1750.0,1475.0,1350.0,0,0,0,583.3333333333334,1.0,0.0,1.01
0.0,72.0,1508.0,1295.0,2,2,3.0,2.0,1.0,1508.0,1500.0,1200.0,0,0,1,754.0,1.0,0.0,2.1
0.0,76.0,1950.0,1660.0,3,3,3.0,2.0,3.0,1950.0,1920.0,1550.0,0,0,1,650.0,2.0,0.0,2.85
0.0,99.0,1646.0,1371.0,2,2,3.0,7.0,3.0,1640.0,1630.0,1620.0,0,0,0,823.0,1.0,2.0,1.18
0.0,12.0,1745.0,1468.0,3,3,3.0,7.0,3.0,1745.0,1460.0,1320.0,0,0,0,581.6666666666666,1.0,0.0,2.45
0.0,7.0,2875.0,2074.0,4,6,4.0,2.0,3.0,2875.0,2456.0,2100.0,1,0,0,718.75,0.0,0.0,2.4
0.0,99.0,1968.0,2063.0,4,5,4.0,7.0,3.0,2812.0,2390.0,1968.0,1,0,0,492.0,0.0,2.0,2.2
0.0,99.0,2408.0,1940.0,3,4,3.0,1.0,3.0,2408.0,2300.0,2200.0,1,0,0,802.6666666666666,1.0,2.0,2.0
0.0,98.0,1550.0,1481.0,3,3,3.0,2.0,3.0,1750.0,1610.0,1550.0,0,0,0,516.6666666666666,2.0,2.0,1.05
0.0,111.0,1997.0,1700.0,3,3,3.0,2.0,3.0,1997.0,1790.0,1420.0,1,0,0,665.6666666666666,1.0,2.0,1.16
0.0,75.0,1650.0,1384.0,3,3,3.0,0.0,3.0,1650.0,1600.0,1250.0,1,0,1,550.0,1.0,2.0,2.4
0.0,63.0,2329.0,1884.0,3,4,3.0,2.0,3.0,2329.0,1900.0,1700.0,1,0,2,776.3333333333334,0.0,0.0,5.75
0.0,90.0,2500.0,1893.0,4,4,3.0,0.0,3.0,2350.0,2300.0,2000.0,1,0,0,625.0,2.0,1.0,1.25
0.0,105.0,1430.0,1420.0,3,3,3.0,0.0,3.0,1702.0,1540.0,1430.0,0,0,0,476.6666666666667,0.0,2.0,1.29
0.0,45.0,1815.0,1547.0,3,5,4.0,3.0,3.0,1815.0,1400.0,1270.0,1,0,0,605.0,1.0,2.0,0.99
0.0,94.0,2092.0,1767.0,3,4,4.0,5.0,3.0,2092.0,1760.0,1670.0,1,0,2,697.3333333333334,0.0,0.0,2.34
0.0,35.0,1777.0,1515.0,3,4,3.0,5.0,2.0,1777.0,1700.0,1600.0,1,0,1,592.3333333333334,2.0,2.0,2.35
0.0,99.0,2390.0,1943.0,3,4,3.0,2.0,3.0,2408.0,2400.0,2390.0,1,0,0,796.6666666666666,0.0,2.0,1.93
0.0,105.0,2215.0,1847.0,4,4,4.0,4.0,3.0,2215.0,2000.0,1650.0,0,0,0,553.75,2.0,2.0,1.78
0.0,94.0,2132.0,1793.0,3,3,2.0,7.0,3.0,2132.0,1700.0,1350.0,1,0,2,710.6666666666666,0.0,0.0,2.5
0.0,2.0,2589.0,1997.0,3,3,4.0,6.0,0.0,2588.0,1900.0,1877.0,1,0,0,863.0,2.0,1.0,0.81
0.0,105.0,2310.0,1486.0,3,3,4.0,6.0,3.0,1755.0,1500.0,1400.0,0,0,0,770.0,2.0,1.0,1.27
0.0,108.0,1805.0,1536.0,3,4,2.0,2.0,3.0,1805.0,1350.0,1100.0,0,0,1,601.6666666666666,2.0,0.0,1.45
0.0,57.0,2383.0,1921.0,4,4,3.0,2.0,0.0,2383.0,2200.0,2000.0,1,0,1,595.75,2.0,2.0,3.0
0.0,10.0,1100.0,1214.0,2,2,3.0,2.0,1.0,1385.0,1200.0,1100.0,0,0,1,550.0,0.0,2.0,0.97
0.0,59.0,2480.0,1971.0,3,4,4.0,1.0,0.0,2480.0,2470.0,2000.0,1,0,1,826.6666666666666,0.0,2.0,2.65
0.0,46.0,1800.0,1531.0,3,3,3.0,4.0,3.0,1800.0,1700.0,1600.0,0,0,0,600.0,0.0,2.0,1.08
0.0,12.0,2003.0,1722.0,3,3,4.0,0.0,3.0,2003.0,1338.29,986.41,1,0,1,667.6666666666666,2.0,2.0,1.68
0.0,99.0,2560.0,1985.0,4,5,4.0,0.0,3.0,2560.0,2017.0,1890.0,1,0,1,640.0,2.0,2.0,1.49
